gbarr
3
255,255,255,0
gbarr.png
gbarr.ogg
-915,190,0
0

line;-916,192;81.006173;0
line;-956,176;576;90
line;-876,176;576;-90
line;-852,-136;67.882251;-45
line;-736,-160;184;0
line;-600,-204;124.450793;-45
line;-956,-128;32;-90
line;-908,-192;135.059246;-45.299975
line;-780,-240;161;0
line;-676,-264;67.882251;-45
line;-652,-530;484;-90
line;-606,-818;130.107648;-45
line;-480,-864;160;0
line;-342,-806;164.048773;45
line;-283,-254;987.000507;89.94195
line;-281,239;4;0
line;-191,151;248.195487;-45.163235
line;-20,63;168;0
line;177,-50;320.320152;-45.126481
line;-555,-490;484.001033;-89.88162
line;-537,-749;48.795492;-44.169685
line;-488,-766;64;0
line;-419,-728;105.361283;45.38453
line;-382,-207;967;90
line;-351,307;87.681241;45
line;-280,338;79;0
line;-152,250;249.609695;-44.837689
line;20,162;168;0
line;247,19;404.465079;-45
line;391,-220;193.002591;-89.703133
line;316,-391;212.136748;-135.381966
line;204,-466;72.006944;-179.204276
line;143,-491;70.007142;-135.578726
line;118,-552;72;-90
line;127,-596;24.758837;-43.363423
line;164,-605;56;0
line;216,-581;67.882251;45
line;300,-557;119.004202;-0.481466
line;406,-605;132.936075;-45
line;453,-704;104;-90
line;467,-769;38.183766;-45
line;560,-783;160;0
line;658,-765;49.497475;45
line;675,-620;256;90
line;627,-444;135.764502;135
line;579,-8;776;90
line;723,524;407.293506;45
line;867,705;73;90
line;854,754;37.48333;136.080924
line;764,767;152;180
line;681,775;21.931712;133.15239
line;625,783;97;180
line;568,791;22.627417;135
line;482,799;156;180
line;332,783;147.512711;-167.471192
line;291,-220;113.004425;-89.492971
line;246,-322;127.988281;-135.316548
line;164,-367;72;180
line;74,-421;154.149278;-135
line;19,-552;152;-90
line;58,-666;108.894444;-45
line;164,-705;136;0
line;256,-681;67.882251;45
line;300,-657;40;0
line;338,-674;49.497475;-45
line;355,-744;104;-90
line;390,-830;97.580736;-45
line;560,-865;272;0
line;727,-834;86.267027;45
line;757,-636;336;90
line;686,-397;114.551299;135
line;645,-24;665;90
line;705,369;169.705627;45
line;764,3;853.002345;-90.134339
line;796,22;876;90
line;880,544;237.587878;45
line;777,-446;58.796258;48.447387
line;796,-420;8;90
line;745,-431;39.560081;-159.274441
line;965,712;167.002994;89.656916
line;930,830;98.994949;135
line;792,865;207;180
line;680,857;23.345235;-133.264295
line;624,849;96.005208;179.403191
line;569,841;21.931712;-133.15239
line;482,833;158.003165;-179.637373
line;332,841;144.006944;-6.779568
line;-44,849;608.000822;-179.905764
line;-285,815;125.004;-0.458356
line;-211,803;32.526912;-45
line;-188,791;24;0
line;-164,779;33.941125;-45
line;54,767;412;0
line;-428,799;163.168624;11.309932
line;-428,856;161.793078;174.324644
line;-676,864;335;180
line;-652,784;289.00173;-0.198255
line;-836,744;112.432202;-134.639654
line;-900,808;158.391919;-135
line;-956,608;288;-90
line;-876,584;240;90
line;-917,200;80;0
