Indiapolis
500
255,255,255,255
bg3.png
rr.ogg
0,-500,90
0

line;-10,-500;200;-90
line;0,-600;2000;0
line;0,600;2000;0
line;495,-400;1010;0
line;-100,400;1800;0
curve;1000,0;600;-90;180
curve;1000,0;400;-89.856761;179.856761
curve;-1000,0;600;-90.095493;-180
curve;-1000,0;400;-90;-180
line;1000,388;25;-90
curve;926,374;74.006756;0.77422;-91.163981
line;863,300;125;180
line;-112,375;1775;180
line;-100,300;1800;180
line;-450,-375;650;0
line;-562,-300;875;0
curve;-1000,0;300;-90;-180
line;-862,-387;176.776695;8.130102
curve;-117,-402;102.077917;94.484606;-93.17117
line;-537,-400;825;180
line;-975,-400;50;180
line;-125,-387;25;-90
line;788,388;35.355339;45
line;988,588;35.355339;-135
curve;538,412;39.773591;-162.474432;-215.827266
curve;13,600;38;180;180
curve;-475,400;75;-180;-180
line;-15,-500;200;-90
