F-Zero
15
255,255,255,0
F-Zero.png
rr.ogg
-1600,-1300,90
0

line;-1629,-1295;148;-90
line;647,-1369;4872.010263;0
line;215,-1223;5734.000349;0.019985
line;-2821,-1111;406.873445;146.427102
line;-2531,-1379;288;180
line;-2464,-1453;215.002326;-136.130691
line;-2823,-1529;562.003559;-180
line;-3142,-1491;106.775465;135.379437
line;-3180,-1312;284.001761;90.201745
line;-2919,-1258;367.83692;-32.566765
curve;-3123,-1209;70.216493;146.082569;-100.521896
curve;-2685,-1221;157.318149;-120.151548;33.796037
line;-2049,-1506;588.238897;-152.128047
line;-2764,-1647;911.019758;-179.622646
line;-3307,-1144;880.000568;90.065109
curve;-3202,-1536;115.412304;-155.432829;56.460202
line;-2752,-719;361;0
line;-2537,-740;82.152298;-31.561812
line;-1785,-764;1433.005583;-0.159932
line;-1782,-518;1433.005583;-0.159932
line;-1032,-742;87.664132;32.421065
line;-792,-719;406;0
line;-542,-743;104.656581;-27.299572
line;-446,-767;100.005;-0.572939
line;-1784,-676;1274;180
line;-1784,-604;1275;180
curve;-1146,-640;36.013886;-91.59114;183.182281
line;-2440,-659;50.990195;138.17983
line;-2440,-623;53.037722;45.763898
line;-2538,-540;94.154129;-149.349332
line;-2846,-563;535.003738;179.785811
curve;-3122,-755;192.95025;87.626404;76.967313
curve;-2914,-869;151.485192;-120.638585;-142.28961
line;-1032,-540;77.698134;-31.849051
line;-726,-562;546.008242;-0.314809
line;-272,-523;267.001873;90
line;-458,-463;94.826157;120
line;-481,-360;123.004065;90
line;-279,-190;117;0
line;-326,468;187.002674;0
line;-321,627;260.001923;0
line;-1659,1136;312.001603;0
line;-1775,1183;551.00363;0.207969
line;-1765,1348;517.008704;0
line;-1217,1485;1621.001234;0
line;-1214,1650;1628.004914;0
line;309,828;1741.604146;-44.976737
line;372,995;1713.319877;134.976353
line;1261,355;113.15918;90
line;1311,174;472.016949;-90
line;1479,218;430.018604;90
line;1008,389;61.008196;-0.939191
line;1066,406;66.573268;32.735226
line;1098,454;60.406953;83.345575
curve;1287,434;192.002604;164.954654;-165.253066
curve;1286,432;32.649655;-139.969741;-261.378036
curve;1069,349;198.758648;-136.427002;121.552931
line;2124,-519;1403.990028;-34.14281
line;2011,-645;1470.010884;-34.187339
line;2878,-1078;382.001309;0
line;2893,-913;376.021276;0
curve;3079,-1150;72.062473;-87.614056;185.521219
curve;3086,-1141;228.019736;-90.753848;182.010133
curve;2673,-998;80.817591;-131.987212;51.398707
curve;1490,-75;179.493732;175.846147;65.161257
curve;1629,-2;149.970547;-124.991812;-56.627107
curve;-413,1329;155.99111;87.796948;-41.029425
curve;-402,1336;313.878683;89.635064;-31.996944
curve;-2043,1416;234.136712;-91.958067;-181.709721
curve;-2042,1416;70.405966;78.53047;206.29601
curve;-1481,1159;31.827661;-133.72697;260.961804
line;-1650,976;336.001488;0.170523
curve;-1486,1163;187.042776;-88.774609;185.250733
curve;-1779,651;486.0283;94.245098;172.569765
curve;-1784,646;331.248907;95.900199;169.955297
curve;-1762,597;434.234959;-95.815627;74.210099
line;-1742,317;132.003788;0.434051
curve;-1717,465;153.491969;-74.546574;54.340155
line;-1524,481;167.863039;54.700392
curve;-1276,308;312.610623;129.547378;-103.741447
curve;-1270,308;156.074449;124.300657;-115.472216
curve;-844,454;297.506853;-156.189037;135.221976
curve;-832,490;167.868997;-164.141217;89.336465
line;-701,436;277.366184;51.146626
curve;-403,298;170.57674;162.959618;-67.088503
curve;-390,297;333.62404;132.204207;-31.668949
curve;-259,142;489.588553;82.019882;-169.911787
curve;-247,139;329.734485;87.563352;-173.046649
curve;-224,-393;48.104054;176.424248;-65.728797
curve;-341,-335;145.031031;165.579227;-76.764488
curve;-418,-618;151.388753;-81.656108;66.738286
line;-443,-534;62.936476;72.428741
line;-1633,-1295;148;-90
